"inds","mw","rate_with_this_mw","importance_sampling_scenario_weights_basic","importance_sampling_scenario_weights_self_normalised","importance_sampling_scenario_rates_basic","importance_sampling_scenario_rates_self_normalised"
4292,7.2,0.00695132295458662,0,0,0,0
1004,7.2,0.00695132295458662,0,0,0,0
4337,7.2,0.00695132295458662,0,0,0,0
4774,7.2,0.00695132295458662,0,0,0,0
2948,7.2,0.00695132295458662,0,0,0,0
3175,7.2,0.00695132295458662,0,0,0,0
11726,7.3,0.00562512910108076,0,0,0,0
11923,7.3,0.00562512910108076,0,0,0,0
11495,7.3,0.00562512910108076,0,0,0,0
10654,7.3,0.00562512910108076,0,0,0,0
9822,7.3,0.00562512910108076,0,0,0,0
11172,7.3,0.00562512910108076,0,0,0,0
18951,7.4,0.00455721012138687,0,0,0,0
17340,7.4,0.00455721012138687,0,0,0,0
15336,7.4,0.00455721012138687,0,0,0,0
14819,7.4,0.00455721012138687,0,0,0,0
19131,7.4,0.00455721012138687,0,0,0,0
19140,7.4,0.00455721012138687,0,0,0,0
26036,7.5,0.00370383973719918,0,0,0,0
26174,7.5,0.00370383973719918,0,0,0,0
26028,7.5,0.00370383973719918,0,0,0,0
24895,7.5,0.00370383973719918,0,0,0,0
22494,7.5,0.00370383973719918,0,0,0,0
26032,7.5,0.00370383973719918,0,0,0,0
33569,7.6,0.00299729832003206,0,0,0,0
33591,7.6,0.00299729832003206,0,0,0,0
33898,7.6,0.00299729832003206,0,0,0,0
33051,7.6,0.00299729832003206,0,0,0,0
31364,7.6,0.00299729832003206,0,0,0,0
33357,7.6,0.00299729832003206,0,0,0,0
41101,7.7,0.00243520090309315,0,0,0,0
36321,7.7,0.00243520090309315,0,0,0,0
39992,7.7,0.00243520090309315,0,0,0,0
36929,7.7,0.00243520090309315,0,0,0,0
37931,7.7,0.00243520090309315,0,0,0,0
40430,7.7,0.00243520090309315,0,0,0,0
47431,7.8,0.00197643449989184,0,0,0,0
47400,7.8,0.00197643449989184,0,0,0,0
