"inds","mw","rate_with_this_mw","importance_sampling_scenario_weights_basic","importance_sampling_scenario_weights_self_normalised","importance_sampling_scenario_rates_basic","importance_sampling_scenario_rates_self_normalised"
4292,7.2,0.0141911251373241,0,0,0,0
1004,7.2,0.0141911251373241,1.8581652303764,1,0.0263694553100961,0.0141911251373241
4337,7.2,0.0141911251373241,0,0,0,0
4774,7.2,0.0141911251373241,0,0,0,0
2948,7.2,0.0141911251373241,0,0,0,0
3175,7.2,0.0141911251373241,0,0,0,0
11726,7.3,0.0114820999403542,0,0,0,0
11923,7.3,0.0114820999403542,0,0,0,0
11495,7.3,0.0114820999403542,0,0,0,0
10654,7.3,0.0114820999403542,0,0,0,0
9822,7.3,0.0114820999403542,0,0,0,0
11172,7.3,0.0114820999403542,0,0,0,0
18951,7.4,0.00930082487813537,0,0,0,0
17340,7.4,0.00930082487813537,0,0,0,0
15336,7.4,0.00930082487813537,1.4870273738617,0.334947529431372,0.0138305811932812,0.00311528831460529
14819,7.4,0.00930082487813537,2.95255567482109,0.665052470568628,0.0274612032744558,0.00618553656353008
19131,7.4,0.00930082487813537,0,0,0,0
19140,7.4,0.00930082487813537,0,0,0,0
26036,7.5,0.00754245164831976,0,0,0,0
26174,7.5,0.00754245164831976,0,0,0,0
26028,7.5,0.00754245164831976,0,0,0,0
24895,7.5,0.00754245164831976,0,0,0,0
22494,7.5,0.00754245164831976,1.77104924392872,1,0.0133580532891257,0.00754245164831976
26032,7.5,0.00754245164831976,0,0,0,0
33569,7.6,0.00612335194228574,0,0,0,0
33591,7.6,0.00612335194228574,0,0,0,0
33898,7.6,0.00612335194228574,0,0,0,0
33051,7.6,0.00612335194228574,0,0,0,0
31364,7.6,0.00612335194228574,0,0,0,0
33357,7.6,0.00612335194228574,0,0,0,0
41101,7.7,0.0049767483442212,0,0,0,0
36321,7.7,0.0049767483442212,3.73759728609192,0.59908406187533,0.0186010811049236,0.00298149061298736
39992,7.7,0.0049767483442212,0,0,0,0
36929,7.7,0.0049767483442212,1.14974887285877,0.184288507339171,0.00572201079927009,0.000917157523759215
37931,7.7,0.0049767483442212,1.35150665644889,0.2166274307855,0.00672610851468596,0.00107810020747463
40430,7.7,0.0049767483442212,0,0,0,0
47431,7.8,0.00404925093691402,0,0,0,0
47400,7.8,0.00404925093691402,0,0,0,0
47252,7.8,0.00404925093691402,0,0,0,0
45742,7.8,0.00404925093691402,0,0,0,0
47487,7.8,0.00404925093691402,0,0,0,0
46830,7.8,0.00404925093691402,0,0,0,0
54579,7.9,0.00330145849190894,0,0,0,0
51587,7.9,0.00330145849190894,1.40879053820488,0.224033567331898,0.00465106348567746,0.000739637523340549
50354,7.9,0.00330145849190894,2.66536189313796,0.423860408596355,0.00879958165611079,0.00139935754534443
50680,7.9,0.00330145849190894,1.99800151633643,0.317733115818454,0.00659631907295584,0.00104898269337952
54539,7.9,0.00330145849190894,0,0,0,0
52244,7.9,0.00330145849190894,0.216147198361948,0.0343729082532924,0.000713601003534379,0.000113480729844439
58983,8,0.00270195313475213,0,0,0,0
60548,8,0.00270195313475213,0,0,0,0
58971,8,0.00270195313475213,0,0,0,0
60967,8,0.00270195313475213,0,0,0,0
60273,8,0.00270195313475213,0,0,0,0
60401,8,0.00270195313475213,0,0,0,0
58911,8,0.00270195313475213,0,0,0,0
60091,8,0.00270195313475213,0,0,0,0
60392,8,0.00270195313475213,0,0,0,0
60348,8,0.00270195313475213,0,0,0,0
59193,8,0.00270195313475213,0,0,0,0
65953,8.1,0.00221191959625005,0,0,0,0
65624,8.1,0.00221191959625005,0,0,0,0
62907,8.1,0.00221191959625005,0.960056289024628,0.414257255656419,0.00212356731919667,0.000916303741675198
65255,8.1,0.00221191959625005,0,0,0,0
65708,8.1,0.00221191959625005,0,0,0,0
65863,8.1,0.00221191959625005,0,0,0,0
65990,8.1,0.00221191959625005,0,0,0,0
65567,8.1,0.00221191959625005,0,0,0,0
